subnum,nowtrial,imageno,exposure,charalength,TargetPosi,charakey,charares,TorF1,maskwidth,colorcond,colorres,TorF2,totaltime,RSVPtime,mojitime,mojiRT,colorRT,gray_gray,gray_mix,gray_color,mix_gray,mix_mix,mix_color,color_gray,color_mix,color_color
4,1,226,9,21,7,72,72,1,9.00E+00,1,1,1,4.86E+00,3.84E+00,1.83E-01,1.77E+00,1.18E+00,0,0,0,0,1,0,0,0,0
4,2,207,9,20,6,83,83,1,3.00E+02,2,2,1,4.64E+00,3.62E+00,1.81E-01,1.58E+00,1.31E+00,0,0,0,0,0,0,0,0,1
4,3,417,7,20,6,72,72,1,1.00E-02,0,0,1,3.79E+00,2.77E+00,1.38E-01,1.48E+00,1.51E+00,1,0,0,0,0,0,0,0,0
4,4,367,5,24,10,89,89,1,1.00E-02,0,0,1,3.37E+00,2.35E+00,9.79E-02,1.58E+00,1.20E+00,1,0,0,0,0,0,0,0,0
4,5,443,5,22,8,76,82,0,1.00E-02,0,0,1,3.13E+00,2.10E+00,9.54E-02,1.21E+00,1.09E+00,1,0,0,0,0,0,0,0,0
4,6,516,5,23,9,1000,1000,1000,1.70E+01,1,1,1,2.23E+00,1.20E+00,5.22E-02,1.00E+03,2.60E+00,0,0,0,0,1,0,0,0,0
4,7,500,7,25,11,79,79,1,1.70E+01,1,2,0,4.50E+00,3.47E+00,1.39E-01,1.34E+00,1.14E+00,0,0,0,0,0,1,0,0,0
4,8,247,7,24,10,75,75,1,2.50E+01,1,2,0,4.36E+00,3.33E+00,1.39E-01,1.89E+00,1.42E+00,0,0,0,0,0,1,0,0,0
4,9,205,5,24,10,1000,1000,1000,3.00E+02,2,2,1,2.27E+00,1.25E+00,5.21E-02,1.00E+03,1.94E+00,0,0,0,0,0,0,0,0,1
4,10,479,9,22,8,86,86,1,3.00E+02,2,2,1,4.74E+00,3.72E+00,1.69E-01,1.83E+00,1.11E+00,0,0,0,0,0,0,0,0,1
4,11,424,7,21,7,76,76,1,1.00E-02,0,0,1,3.97E+00,2.93E+00,1.40E-01,1.23E+00,1.13E+00,1,0,0,0,0,0,0,0,0
4,12,237,9,20,6,1000,1000,1000,3.00E+02,2,2,1,3.36E+00,2.33E+00,1.17E-01,1.00E+03,1.25E+00,0,0,0,0,0,0,0,0,1
4,13,460,5,21,7,87,87,1,1.30E+01,1,2,0,3.13E+00,2.10E+00,1.00E-01,1.10E+00,2.60E+00,0,0,0,0,0,1,0,0,0
4,14,353,7,22,8,68,68,1,1.00E-02,0,0,1,3.89E+00,2.87E+00,1.30E-01,1.79E+00,1.27E+00,1,0,0,0,0,0,0,0,0
4,15,203,5,22,8,79,81,0,3.00E+02,2,2,1,3.26E+00,2.23E+00,1.01E-01,1.40E+00,1.10E+00,0,0,0,0,0,0,0,0,1
